date,transport_type,value
03/12/2020,national_rail,0.92
03/13/2020,cars,0.98
03/13/2020,light_commercial_vehicles,1
03/13/2020,heavy_goods_vehicles,1.02
03/13/2020,all_motor_vehicles,0.98
03/13/2020,cycling,0.99
03/13/2020,tfl_tube,0.71
03/13/2020,tfl_bus,0.88
03/13/2020,bus_excluding_london,0.94
03/13/2020,national_rail,0.9
03/14/2020,cars,0.93
03/14/2020,light_commercial_vehicles,1.02
03/14/2020,heavy_goods_vehicles,1.08
03/14/2020,all_motor_vehicles,0.95
03/14/2020,cycling,1.27
03/14/2020,tfl_tube,0.6
03/14/2020,tfl_bus,0.84
03/14/2020,bus_excluding_london,0.85
03/14/2020,national_rail,0.88
03/15/2020,cars,0.94
03/15/2020,light_commercial_vehicles,1.05
03/15/2020,heavy_goods_vehicles,1.12
03/15/2020,all_motor_vehicles,0.96
03/15/2020,cycling,0.93
03/15/2020,tfl_tube,0.52
03/15/2020,tfl_bus,0.75
03/15/2020,bus_excluding_london,0.85
03/15/2020,national_rail,0.85
03/16/2020,cars,0.96
03/16/2020,light_commercial_vehicles,1.03
03/16/2020,heavy_goods_vehicles,1.04
03/16/2020,all_motor_vehicles,0.98
03/16/2020,cycling,1.04
03/16/2020,tfl_tube,0.58
03/16/2020,tfl_bus,0.79
03/16/2020,bus_excluding_london,0.88
03/16/2020,national_rail,0.81
03/17/2020,cars,0.86
03/17/2020,light_commercial_vehicles,0.95
03/17/2020,heavy_goods_vehicles,1.03
03/17/2020,all_motor_vehicles,0.89
03/17/2020,cycling,0.77
03/17/2020,tfl_tube,0.42
03/17/2020,tfl_bus,0.7
03/17/2020,bus_excluding_london,0.77
03/17/2020,national_rail,0.75
03/18/2020,cars,0.8
03/18/2020,light_commercial_vehicles,0.9
03/18/2020,heavy_goods_vehicles,1
03/18/2020,all_motor_vehicles,0.83
03/18/2020,cycling,0.93
03/18/2020,tfl_tube,0.34
03/18/2020,tfl_bus,0.66
03/18/2020,bus_excluding_london,0.62
03/18/2020,national_rail,0.68
03/19/2020,cars,0.79
03/19/2020,light_commercial_vehicles,0.88
03/19/2020,heavy_goods_vehicles,1
03/19/2020,all_motor_vehicles,0.82
03/19/2020,cycling,0.91
03/19/2020,tfl_tube,0.28
03/19/2020,tfl_bus,0.59
03/19/2020,bus_excluding_london,0.58
03/19/2020,national_rail,0.62
03/20/2020,cars,0.78
03/20/2020,light_commercial_vehicles,0.85
03/20/2020,heavy_goods_vehicles,0.98
03/20/2020,all_motor_vehicles,0.81
03/20/2020,cycling,0.82
03/20/2020,tfl_tube,0.23
03/20/2020,tfl_bus,0.52
03/20/2020,bus_excluding_london,0.53
03/20/2020,national_rail,0.55
03/21/2020,cars,0.7
03/21/2020,light_commercial_vehicles,0.79
03/21/2020,heavy_goods_vehicles,1.02
03/21/2020,all_motor_vehicles,0.73
03/21/2020,cycling,1.18
03/21/2020,tfl_tube,0.12
03/21/2020,tfl_bus,0.4
03/21/2020,bus_excluding_london,0.4
03/21/2020,national_rail,0.49
03/22/2020,cars,0.66
03/22/2020,light_commercial_vehicles,0.73
03/22/2020,heavy_goods_vehicles,1.01
03/22/2020,all_motor_vehicles,0.69
03/22/2020,cycling,1.26
03/22/2020,tfl_tube,0.11
03/22/2020,tfl_bus,0.32
03/22/2020,bus_excluding_london,0.35
03/22/2020,national_rail,0.47
03/23/2020,cars,0.64
03/23/2020,light_commercial_vehicles,0.77
03/23/2020,heavy_goods_vehicles,0.97
03/23/2020,all_motor_vehicles,0.69
03/23/2020,cycling,0.86
03/23/2020,tfl_tube,0.14
03/23/2020,tfl_bus,0.31
03/23/2020,bus_excluding_london,0.27
03/23/2020,national_rail,0.4
03/24/2020,cars,0.44
03/24/2020,light_commercial_vehicles,0.56
03/24/2020,heavy_goods_vehicles,0.84
03/24/2020,all_motor_vehicles,0.49
03/24/2020,cycling,0.85
03/24/2020,tfl_tube,0.09
03/24/2020,tfl_bus,0.22
03/24/2020,bus_excluding_london,0.17
03/24/2020,national_rail,0.36
03/25/2020,cars,0.37
03/25/2020,light_commercial_vehicles,0.47
03/25/2020,heavy_goods_vehicles,0.77
03/25/2020,all_motor_vehicles,0.42
03/25/2020,cycling,1.28
03/25/2020,tfl_tube,0.07
03/25/2020,tfl_bus,0.19
03/25/2020,bus_excluding_london,0.14
03/25/2020,national_rail,0.3
03/26/2020,cars,0.35
03/26/2020,light_commercial_vehicles,0.43
03/26/2020,heavy_goods_vehicles,0.72
03/26/2020,all_motor_vehicles,0.39
03/26/2020,cycling,1.32
03/26/2020,tfl_tube,0.06
03/26/2020,tfl_bus,0.18
03/26/2020,bus_excluding_london,0.13
03/26/2020,national_rail,0.26
03/27/2020,cars,0.35
03/27/2020,light_commercial_vehicles,0.42
03/27/2020,heavy_goods_vehicles,0.69
03/27/2020,all_motor_vehicles,0.38
03/27/2020,cycling,1.06
03/27/2020,tfl_tube,0.05
03/27/2020,tfl_bus,0.18
03/27/2020,bus_excluding_london,0.14
03/27/2020,national_rail,0.2
03/28/2020,cars,0.27
03/28/2020,light_commercial_vehicles,0.34
03/28/2020,heavy_goods_vehicles,0.71
03/28/2020,all_motor_vehicles,0.3
03/28/2020,cycling,1.25
03/28/2020,tfl_tube,0.04
03/28/2020,tfl_bus,0.17
03/28/2020,bus_excluding_london,0.12
03/28/2020,national_rail,0.19
03/29/2020,cars,0.23
03/29/2020,light_commercial_vehicles,0.29
03/29/2020,heavy_goods_vehicles,0.72
03/29/2020,all_motor_vehicles,0.25
03/29/2020,cycling,0.83
03/29/2020,tfl_tube,0.04
03/29/2020,tfl_bus,0.16
03/29/2020,bus_excluding_london,0.13
03/29/2020,national_rail,0.18
03/30/2020,cars,0.33
03/30/2020,light_commercial_vehicles,0.41
03/30/2020,heavy_goods_vehicles,0.64
03/30/2020,all_motor_vehicles,0.36
03/30/2020,cycling,0.72
03/30/2020,tfl_tube,0.05
03/30/2020,tfl_bus,0.17
03/30/2020,bus_excluding_london,0.12
03/30/2020,national_rail,0.17
03/31/2020,cars,0.32
03/31/2020,light_commercial_vehicles,0.4
03/31/2020,heavy_goods_vehicles,0.62
03/31/2020,all_motor_vehicles,0.36
03/31/2020,cycling,0.96
03/31/2020,tfl_tube,0.05
03/31/2020,tfl_bus,0.17
03/31/2020,bus_excluding_london,0.12
03/31/2020,national_rail,0.16
04/01/2020,cars,0.32
04/01/2020,light_commercial_vehicles,0.39
04/01/2020,heavy_goods_vehicles,0.61
04/01/2020,all_motor_vehicles,0.35
04/01/2020,cycling,1.11
04/01/2020,tfl_tube,0.05
04/01/2020,tfl_bus,0.16
04/01/2020,bus_excluding_london,0.11
04/01/2020,national_rail,0.15
04/02/2020,cars,0.32
04/02/2020,light_commercial_vehicles,0.38
04/02/2020,heavy_goods_vehicles,0.6
04/02/2020,all_motor_vehicles,0.35
04/02/2020,cycling,1.1
04/02/2020,tfl_tube,0.05
04/02/2020,tfl_bus,0.16
04/02/2020,bus_excluding_london,0.11
04/02/2020,national_rail,0.15
04/03/2020,cars,0.34
04/03/2020,light_commercial_vehicles,0.4
04/03/2020,heavy_goods_vehicles,0.6
04/03/2020,all_motor_vehicles,0.36
04/03/2020,cycling,1.12
04/03/2020,tfl_tube,0.05
04/03/2020,tfl_bus,0.16
04/03/2020,bus_excluding_london,0.12
04/03/2020,national_rail,0.18
04/04/2020,cars,0.28
04/04/2020,light_commercial_vehicles,0.35
04/04/2020,heavy_goods_vehicles,0.66
04/04/2020,all_motor_vehicles,0.31
04/04/2020,cycling,2
04/04/2020,tfl_tube,0.04
04/04/2020,tfl_bus,0.17
04/04/2020,bus_excluding_london,0.11
04/04/2020,national_rail,0.18
04/05/2020,cars,0.25
04/05/2020,light_commercial_vehicles,0.31
04/05/2020,heavy_goods_vehicles,0.7
04/05/2020,all_motor_vehicles,0.27
04/05/2020,cycling,2.25
04/05/2020,tfl_tube,0.04
04/05/2020,tfl_bus,0.17
04/05/2020,bus_excluding_london,0.12
04/05/2020,national_rail,0.18
04/06/2020,cars,0.34
04/06/2020,light_commercial_vehicles,0.42
04/06/2020,heavy_goods_vehicles,0.61
04/06/2020,all_motor_vehicles,0.37
04/06/2020,cycling,1.05
04/06/2020,tfl_tube,0.05
04/06/2020,tfl_bus,0.18
04/06/2020,bus_excluding_london,0.11
04/06/2020,national_rail,0.17
04/07/2020,cars,0.33
04/07/2020,light_commercial_vehicles,0.41
04/07/2020,heavy_goods_vehicles,0.6
04/07/2020,all_motor_vehicles,0.36
04/07/2020,cycling,1.37
04/07/2020,tfl_tube,0.05
04/07/2020,tfl_bus,0.18
04/07/2020,bus_excluding_london,0.11
04/07/2020,national_rail,0.16
04/08/2020,cars,0.34
04/08/2020,light_commercial_vehicles,0.42
04/08/2020,heavy_goods_vehicles,0.62
04/08/2020,all_motor_vehicles,0.37
04/08/2020,cycling,1.55
04/08/2020,tfl_tube,0.04
04/08/2020,tfl_bus,0.17
04/08/2020,bus_excluding_london,0.1
04/08/2020,national_rail,0.14
04/09/2020,cars,0.36
04/09/2020,light_commercial_vehicles,0.43
04/09/2020,heavy_goods_vehicles,0.61
04/09/2020,all_motor_vehicles,0.39
04/09/2020,cycling,1.68
04/09/2020,tfl_tube,0.04
04/09/2020,tfl_bus,0.18
04/09/2020,bus_excluding_london,0.12
04/09/2020,national_rail,0.13
04/10/2020,cars,0.27
04/10/2020,light_commercial_vehicles,0.27
04/10/2020,heavy_goods_vehicles,0.33
04/10/2020,all_motor_vehicles,0.27
04/10/2020,cycling,1.79
04/10/2020,tfl_tube,0.04
04/10/2020,tfl_bus,0.17
04/10/2020,bus_excluding_london,0.12
04/10/2020,national_rail,0.11
04/11/2020,cars,0.29
04/11/2020,light_commercial_vehicles,0.35
04/11/2020,heavy_goods_vehicles,0.55
04/11/2020,all_motor_vehicles,0.31
04/11/2020,cycling,2.88
04/11/2020,tfl_tube,0.03
04/11/2020,tfl_bus,0.16
04/11/2020,bus_excluding_london,0.1
04/11/2020,national_rail,0.11
04/12/2020,cars,0.22
04/12/2020,light_commercial_vehicles,0.27
04/12/2020,heavy_goods_vehicles,0.5
04/12/2020,all_motor_vehicles,0.24
04/12/2020,cycling,2.48
04/12/2020,tfl_tube,0.03
04/12/2020,tfl_bus,0.14
04/12/2020,bus_excluding_london,0.1
04/12/2020,national_rail,0.11
04/13/2020,cars,0.23
04/13/2020,light_commercial_vehicles,0.22
04/13/2020,heavy_goods_vehicles,0.25
04/13/2020,all_motor_vehicles,0.23
04/13/2020,cycling,1.21
04/13/2020,tfl_tube,0.05
04/13/2020,tfl_bus,0.18
04/13/2020,bus_excluding_london,0.12
04/13/2020,national_rail,0.1
04/14/2020,cars,0.35
04/14/2020,light_commercial_vehicles,0.44
04/14/2020,heavy_goods_vehicles,0.6
04/14/2020,all_motor_vehicles,0.38
04/14/2020,cycling,1.34
04/14/2020,tfl_tube,0.04
04/14/2020,tfl_bus,0.19
04/14/2020,bus_excluding_london,0.12
04/14/2020,national_rail,0.1
04/15/2020,cars,0.34
04/15/2020,light_commercial_vehicles,0.44
04/15/2020,heavy_goods_vehicles,0.63
04/15/2020,all_motor_vehicles,0.38
04/15/2020,cycling,1.95
04/15/2020,tfl_tube,0.04
04/15/2020,tfl_bus,0.18
04/15/2020,bus_excluding_london,0.1
04/15/2020,national_rail,0.1
04/16/2020,cars,0.34
04/16/2020,light_commercial_vehicles,0.42
04/16/2020,heavy_goods_vehicles,0.63
04/16/2020,all_motor_vehicles,0.38
04/16/2020,cycling,2.03
04/16/2020,tfl_tube,0.04
04/16/2020,tfl_bus,0.17
04/16/2020,bus_excluding_london,0.11
04/16/2020,national_rail,0.1
04/17/2020,cars,0.35
04/17/2020,light_commercial_vehicles,0.43
04/17/2020,heavy_goods_vehicles,0.63
04/17/2020,all_motor_vehicles,0.39
04/17/2020,cycling,1.01
04/17/2020,tfl_tube,0.05
04/17/2020,tfl_bus,0.18
04/17/2020,bus_excluding_london,0.11
04/17/2020,national_rail,0.11
04/18/2020,cars,0.31
04/18/2020,light_commercial_vehicles,0.38
04/18/2020,heavy_goods_vehicles,0.71
04/18/2020,all_motor_vehicles,0.33
04/18/2020,cycling,1.43
04/18/2020,tfl_tube,0.04
04/18/2020,tfl_bus,0.16
04/18/2020,bus_excluding_london,0.11
04/18/2020,national_rail,0.11
04/19/2020,cars,0.29
04/19/2020,light_commercial_vehicles,0.36
04/19/2020,heavy_goods_vehicles,0.73
04/19/2020,all_motor_vehicles,0.32
04/19/2020,cycling,3.21
04/19/2020,bus_excluding_london,0.13
04/19/2020,national_rail,0.11
04/20/2020,cars,0.38
04/20/2020,light_commercial_vehicles,0.48
04/20/2020,heavy_goods_vehicles,0.65
04/20/2020,all_motor_vehicles,0.41
04/20/2020,cycling,1.39
04/20/2020,bus_excluding_london,0.12
04/20/2020,national_rail,0.12
04/21/2020,cars,0.37
04/21/2020,light_commercial_vehicles,0.47
04/21/2020,heavy_goods_vehicles,0.64
04/21/2020,all_motor_vehicles,0.41
04/21/2020,cycling,1.5
04/21/2020,bus_excluding_london,0.11
04/21/2020,national_rail,0.12
04/22/2020,cars,0.37
04/22/2020,light_commercial_vehicles,0.47
04/22/2020,heavy_goods_vehicles,0.65
04/22/2020,all_motor_vehicles,0.41
04/22/2020,cycling,2.01
04/22/2020,bus_excluding_london,0.11
04/22/2020,national_rail,0.11
04/23/2020,cars,0.37
04/23/2020,light_commercial_vehicles,0.46
04/23/2020,heavy_goods_vehicles,0.64
04/23/2020,all_motor_vehicles,0.41
04/23/2020,cycling,2.2
04/23/2020,bus_excluding_london,0.11
04/23/2020,national_rail,0.09
04/24/2020,cars,0.39
04/24/2020,light_commercial_vehicles,0.46
04/24/2020,heavy_goods_vehicles,0.65
04/24/2020,all_motor_vehicles,0.42
04/24/2020,cycling,1.88
04/24/2020,bus_excluding_london,0.12
04/24/2020,national_rail,0.09
04/25/2020,cars,0.35
04/25/2020,light_commercial_vehicles,0.43
04/25/2020,heavy_goods_vehicles,0.71
04/25/2020,all_motor_vehicles,0.38
04/25/2020,cycling,2.92
04/25/2020,bus_excluding_london,0.12
04/25/2020,national_rail,0.09
04/26/2020,cars,0.32
04/26/2020,light_commercial_vehicles,0.4
04/26/2020,heavy_goods_vehicles,0.75
04/26/2020,all_motor_vehicles,0.35
04/26/2020,cycling,3.41
04/26/2020,bus_excluding_london,0.13
04/26/2020,national_rail,0.09
04/27/2020,cars,0.4
04/27/2020,light_commercial_vehicles,0.51
04/27/2020,heavy_goods_vehicles,0.68
04/27/2020,all_motor_vehicles,0.44
04/27/2020,cycling,1.58
04/27/2020,bus_excluding_london,0.12
04/27/2020,national_rail,0.09
04/28/2020,cars,0.38
04/28/2020,light_commercial_vehicles,0.48
04/28/2020,heavy_goods_vehicles,0.67
04/28/2020,all_motor_vehicles,0.42
04/28/2020,cycling,0.49
04/28/2020,bus_excluding_london,0.11
04/28/2020,national_rail,0.08
04/29/2020,cars,0.38
04/29/2020,light_commercial_vehicles,0.49
04/29/2020,heavy_goods_vehicles,0.68
04/29/2020,all_motor_vehicles,0.42
04/29/2020,cycling,1.12
04/29/2020,bus_excluding_london,0.11
04/29/2020,national_rail,0.05
04/30/2020,cars,0.39
04/30/2020,light_commercial_vehicles,0.48
04/30/2020,heavy_goods_vehicles,0.67
04/30/2020,all_motor_vehicles,0.42
04/30/2020,cycling,0.97
04/30/2020,bus_excluding_london,0.11
04/30/2020,national_rail,0.06
05/01/2020,cars,0.4
05/01/2020,light_commercial_vehicles,0.5
05/01/2020,heavy_goods_vehicles,0.66
05/01/2020,all_motor_vehicles,0.44
05/01/2020,cycling,1.23
05/01/2020,bus_excluding_london,0.12
05/01/2020,national_rail,0.05
05/02/2020,cars,0.38
05/02/2020,light_commercial_vehicles,0.47
05/02/2020,heavy_goods_vehicles,0.72
05/02/2020,all_motor_vehicles,0.4
05/02/2020,cycling,3.08
05/02/2020,bus_excluding_london,0.12
05/02/2020,national_rail,0.05
05/03/2020,cars,0.34
05/03/2020,light_commercial_vehicles,0.42
05/03/2020,heavy_goods_vehicles,0.76
05/03/2020,all_motor_vehicles,0.36
05/03/2020,cycling,2.57
05/03/2020,bus_excluding_london,0.13
05/03/2020,national_rail,0.05
05/04/2020,cars,0.42
05/04/2020,light_commercial_vehicles,0.55
05/04/2020,heavy_goods_vehicles,0.7
05/04/2020,all_motor_vehicles,0.46
05/04/2020,cycling,1.55
05/04/2020,bus_excluding_london,0.12
05/04/2020,national_rail,0.05
05/05/2020,cars,0.42
05/05/2020,light_commercial_vehicles,0.54
05/05/2020,heavy_goods_vehicles,0.71
05/05/2020,all_motor_vehicles,0.46
05/05/2020,cycling,1.32
05/05/2020,bus_excluding_london,0.12
05/05/2020,national_rail,0.05
05/06/2020,cars,0.43
05/06/2020,light_commercial_vehicles,0.55
05/06/2020,heavy_goods_vehicles,0.73
05/06/2020,all_motor_vehicles,0.47
05/06/2020,cycling,2.27
05/06/2020,bus_excluding_london,0.12
05/06/2020,national_rail,0.09
05/07/2020,cars,0.45
05/07/2020,light_commercial_vehicles,0.56
05/07/2020,heavy_goods_vehicles,0.71
05/07/2020,all_motor_vehicles,0.49
05/07/2020,cycling,2.25
05/07/2020,bus_excluding_london,0.13
05/07/2020,national_rail,0.1
05/08/2020,cars,0.33
05/08/2020,light_commercial_vehicles,0.33
05/08/2020,heavy_goods_vehicles,0.35
05/08/2020,all_motor_vehicles,0.34
05/08/2020,cycling,2.37
05/09/2020,cars,0.39
05/09/2020,light_commercial_vehicles,0.46
05/09/2020,heavy_goods_vehicles,0.65
05/09/2020,all_motor_vehicles,0.41
05/09/2020,cycling,3.84
05/09/2020,bus_excluding_london,0.13
05/09/2020,national_rail,0.11
05/10/2020,cars,0.35
05/10/2020,light_commercial_vehicles,0.44
05/10/2020,heavy_goods_vehicles,0.77
05/10/2020,all_motor_vehicles,0.37
05/10/2020,cycling,1.5
05/10/2020,bus_excluding_london,0.13
05/10/2020,national_rail,0.11
05/11/2020,cars,0.45
05/11/2020,light_commercial_vehicles,0.58
05/11/2020,heavy_goods_vehicles,0.74
05/11/2020,all_motor_vehicles,0.49
05/11/2020,cycling,1
05/11/2020,bus_excluding_london,0.12
05/12/2020,cars,0.45
05/12/2020,light_commercial_vehicles,0.59
05/12/2020,heavy_goods_vehicles,0.75
05/12/2020,all_motor_vehicles,0.5
05/12/2020,cycling,1.44
05/12/2020,bus_excluding_london,0.13
05/12/2020,national_rail,0.11
05/13/2020,cars,0.48
05/13/2020,light_commercial_vehicles,0.61
05/13/2020,heavy_goods_vehicles,0.76
05/13/2020,all_motor_vehicles,0.53
05/13/2020,cycling,1.52
05/13/2020,bus_excluding_london,0.12
05/13/2020,national_rail,0.1
05/14/2020,cars,0.5
05/14/2020,light_commercial_vehicles,0.6
05/14/2020,heavy_goods_vehicles,0.75
05/14/2020,all_motor_vehicles,0.54
05/14/2020,cycling,2.1
05/14/2020,bus_excluding_london,0.13
05/14/2020,national_rail,0.09
05/15/2020,cars,0.51
05/15/2020,light_commercial_vehicles,0.61
05/15/2020,heavy_goods_vehicles,0.74
05/15/2020,all_motor_vehicles,0.55
05/15/2020,cycling,1.74
05/15/2020,bus_excluding_london,0.13
05/15/2020,national_rail,0.09
05/16/2020,cars,0.52
05/16/2020,light_commercial_vehicles,0.64
05/16/2020,heavy_goods_vehicles,0.8
05/16/2020,all_motor_vehicles,0.56
05/16/2020,cycling,2.82
05/16/2020,bus_excluding_london,0.13
05/16/2020,national_rail,0.1
05/17/2020,cars,0.5
05/17/2020,light_commercial_vehicles,0.63
05/17/2020,heavy_goods_vehicles,0.84
05/17/2020,all_motor_vehicles,0.54
05/17/2020,cycling,3.06
05/17/2020,bus_excluding_london,0.15
05/17/2020,national_rail,0.1
05/18/2020,cars,0.53
05/18/2020,light_commercial_vehicles,0.67
05/18/2020,heavy_goods_vehicles,0.79
05/18/2020,all_motor_vehicles,0.58
05/18/2020,cycling,1.64
05/18/2020,bus_excluding_london,0.14
05/18/2020,national_rail,0.1
05/19/2020,cars,0.54
05/19/2020,light_commercial_vehicles,0.67
05/19/2020,heavy_goods_vehicles,0.79
05/19/2020,all_motor_vehicles,0.58
05/19/2020,cycling,1.68
05/19/2020,bus_excluding_london,0.14
05/19/2020,national_rail,0.11
05/20/2020,cars,0.56
05/20/2020,light_commercial_vehicles,0.67
05/20/2020,heavy_goods_vehicles,0.8
05/20/2020,all_motor_vehicles,0.6
05/20/2020,cycling,2.31
05/20/2020,bus_excluding_london,0.13
05/20/2020,national_rail,0.1
05/21/2020,cars,0.54
05/21/2020,light_commercial_vehicles,0.66
05/21/2020,heavy_goods_vehicles,0.8
05/21/2020,all_motor_vehicles,0.59
05/21/2020,cycling,2.24
05/21/2020,bus_excluding_london,0.13
05/21/2020,national_rail,0.11
05/22/2020,cars,0.56
05/22/2020,light_commercial_vehicles,0.67
05/22/2020,heavy_goods_vehicles,0.79
05/22/2020,all_motor_vehicles,0.59
05/22/2020,cycling,1.21
05/22/2020,bus_excluding_london,0.14
05/22/2020,national_rail,0.11
05/23/2020,cars,0.55
05/23/2020,light_commercial_vehicles,0.68
05/23/2020,heavy_goods_vehicles,0.84
05/23/2020,all_motor_vehicles,0.58
05/23/2020,cycling,1.61
05/23/2020,bus_excluding_london,0.14
05/23/2020,national_rail,0.11
05/24/2020,cars,0.55
05/24/2020,light_commercial_vehicles,0.67
05/24/2020,heavy_goods_vehicles,0.8
05/24/2020,all_motor_vehicles,0.58
05/24/2020,cycling,2.64
05/24/2020,bus_excluding_london,0.16
05/24/2020,national_rail,0.11
05/25/2020,cars,0.5
05/25/2020,light_commercial_vehicles,0.46
05/25/2020,heavy_goods_vehicles,0.34
05/25/2020,all_motor_vehicles,0.5
05/25/2020,cycling,2.83
05/25/2020,bus_excluding_london,0.19
05/25/2020,national_rail,0.11
05/26/2020,cars,0.59
05/26/2020,light_commercial_vehicles,0.73
05/26/2020,heavy_goods_vehicles,0.81
05/26/2020,all_motor_vehicles,0.63
05/26/2020,cycling,1.66
05/26/2020,bus_excluding_london,0.15
05/26/2020,national_rail,0.1
05/27/2020,cars,0.59
05/27/2020,light_commercial_vehicles,0.72
05/27/2020,heavy_goods_vehicles,0.84
05/27/2020,all_motor_vehicles,0.63
05/27/2020,cycling,2.25
05/27/2020,bus_excluding_london,0.14
05/27/2020,national_rail,0.11
05/28/2020,cars,0.59
05/28/2020,light_commercial_vehicles,0.71
05/28/2020,heavy_goods_vehicles,0.83
05/28/2020,all_motor_vehicles,0.64
05/28/2020,cycling,2.35
05/28/2020,bus_excluding_london,0.14
05/28/2020,national_rail,0.1
05/29/2020,cars,0.62
05/29/2020,light_commercial_vehicles,0.72
05/29/2020,heavy_goods_vehicles,0.83
05/29/2020,all_motor_vehicles,0.66
05/29/2020,cycling,1.97
05/29/2020,bus_excluding_london,0.15
05/29/2020,national_rail,0.09
05/30/2020,cars,0.66
05/30/2020,light_commercial_vehicles,0.77
05/30/2020,heavy_goods_vehicles,0.92
05/30/2020,all_motor_vehicles,0.69
05/30/2020,cycling,3.23
05/30/2020,bus_excluding_london,0.16
05/30/2020,national_rail,0.09
05/31/2020,cars,0.67
05/31/2020,light_commercial_vehicles,0.79
05/31/2020,heavy_goods_vehicles,0.94
05/31/2020,all_motor_vehicles,0.71
05/31/2020,cycling,3.21
05/31/2020,bus_excluding_london,0.19
05/31/2020,national_rail,0.1
06/01/2020,cars,0.65
06/01/2020,light_commercial_vehicles,0.78
06/01/2020,heavy_goods_vehicles,0.87
06/01/2020,all_motor_vehicles,0.69
06/01/2020,cycling,1.83
06/01/2020,bus_excluding_london,0.17
06/01/2020,national_rail,0.1
06/02/2020,cars,0.65
06/02/2020,light_commercial_vehicles,0.78
06/02/2020,heavy_goods_vehicles,0.84
06/02/2020,all_motor_vehicles,0.69
06/02/2020,cycling,1.83
06/02/2020,bus_excluding_london,0.18
06/02/2020,national_rail,0.11
06/03/2020,cars,0.59
06/03/2020,light_commercial_vehicles,0.74
06/03/2020,heavy_goods_vehicles,0.85
06/03/2020,all_motor_vehicles,0.63
06/03/2020,cycling,1.19
06/03/2020,bus_excluding_london,0.15
06/03/2020,national_rail,0.12
06/04/2020,cars,0.6
06/04/2020,light_commercial_vehicles,0.73
06/04/2020,heavy_goods_vehicles,0.85
06/04/2020,all_motor_vehicles,0.64
06/04/2020,cycling,1.69
